WarNum,ccode,WarName,WarType,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,total_battle_deaths,iso3c,lng_country,lat_country,lat,lng
100,345,First Balkan,1,Yugoslavia,1,10,17,1912,12,3,1912,2,3,1913,4,19,1913,650,11,1,1,-8,15000,4,82000,NA,NA,NA,41.919138,26.693898
100,355,First Balkan,1,Bulgaria,1,10,17,1912,12,3,1912,2,3,1913,4,19,1913,650,2,2,1,-8,32000,4,82000,BGR,25.21552327,42.76889988,41.919138,26.693898
100,640,First Balkan,1,Turkey,2,10,17,1912,4,19,1913,-8,-8,-8,-8,-8,-8,650,11,2,2,-8,30000,4,82000,TUR,35.16895529,39.06160342,41.919138,26.693898
100,350,First Balkan,1,Greece,1,10,17,1912,4,19,1913,-8,-8,-8,-8,-8,-8,650,11,2,1,-8,5000,4,82000,GRC,22.95556207,39.07466973,41.919138,26.693898
103,360,Second Balkan,1,Romania,1,7,11,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1500,4,60500,ROU,24.97293286,45.85242939,41.919138,26.693898
103,345,Second Balkan,1,Yugoslavia,1,6,30,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,18500,4,60500,NA,NA,NA,41.919138,26.693898
103,640,Second Balkan,1,Turkey,1,7,15,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,20000,4,60500,TUR,35.16895529,39.06160342,41.919138,26.693898
103,355,Second Balkan,1,Bulgaria,2,6,30,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,18000,4,60500,BGR,25.21552327,42.76889988,41.919138,26.693898
103,350,Second Balkan,1,Greece,1,6,30,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,2500,4,60500,GRC,22.95556207,39.07466973,41.919138,26.693898
106,235,World War I,1,Portugal,1,3,1,1916,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,7222,4,8578031,PRT,-8.50105506,39.59550247,50.8798,4.70052
106,200,World War I,1,United Kingdom,1,8,5,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,15,2,1,-8,908371,4,8578031,GBR,-2.86563362,54.12387156,50.8798,4.70052
106,345,World War I,1,Yugoslavia,1,7,29,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,70000,4,8578031,NA,NA,NA,50.8798,4.70052
106,360,World War I,1,Romania,1,8,27,1916,12,9,1917,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,335706,4,8578031,ROU,24.97293286,45.85242939,50.8798,4.70052
106,355,World War I,1,Bulgaria,2,10,12,1915,9,29,1918,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,87500,4,8578031,BGR,25.21552327,42.76889988,50.8798,4.70052
106,255,World War I,1,Germany,2,8,1,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,15,2,2,-8,1773700,4,8578031,DEU,10.38577693,51.10697903,50.8798,4.70052
106,211,World War I,1,Belgium,1,8,4,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,13716,4,8578031,BEL,4.64064572,50.63981435,50.8798,4.70052
106,365,World War I,1,Russia,1,8,1,1914,12,5,1917,-8,-8,-8,-8,-8,-8,-8,11,2,1,-8,1700000,4,8578031,RUS,96.68657347,61.98052168,50.8798,4.70052
106,325,World War I,1,Italy,1,5,23,1915,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,650000,4,8578031,ITA,12.07000946,42.79663568,50.8798,4.70052
106,2,World War I,1,United States of America,1,4,17,1917,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,116516,4,8578031,USA,-112.46167057,45.67955203,50.8798,4.70052
106,640,World War I,1,Turkey,2,10,28,1914,10,30,1918,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,325000,4,8578031,TUR,35.16895529,39.06160342,50.8798,4.70052
106,740,World War I,1,Japan,1,8,23,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,300,4,8578031,JPN,138.03089212,37.59230065,50.8798,4.70052
106,220,World War I,1,France,1,8,3,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,14,2,1,-8,1385000,4,8578031,FRA,2.53618475,46.18700581,50.8798,4.70052
106,350,World War I,1,Greece,1,6,29,1917,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,5000,4,8578031,GRC,22.95556207,39.07466973,50.8798,4.70052
106,300,World War I,1,Austria-Hungary,2,7,29,1914,11,3,1918,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,1200000,4,8578031,NA,NA,NA,50.8798,4.70052
107,366,Estonian Liberation,1,Estonia,1,11,22,1918,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,3600,4,11750,EST,25.54248555,58.67192416,59.354778,28.180112
107,365,Estonian Liberation,1,Russia,2,11,22,1918,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,8000,4,11750,RUS,96.68657347,61.98052168,59.354778,28.180112
107,375,Estonian Liberation,1,Finland,1,12,30,1918,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,150,4,11750,FIN,26.27467024,64.49884844,59.354778,28.180112
108,367,Latvian Liberation,1,Latvia,1,12,2,1918,2,1,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,3046,4,13246,LVA,24.9123704,56.85085306,57.396734,27.066578
108,365,Latvian Liberation,1,Russia,2,12,2,1918,2,1,1920,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,8000,4,13246,RUS,96.68657347,61.98052168,57.396734,27.066578
108,366,Latvian Liberation,1,Estonia,1,1,1,1919,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1000,4,13246,EST,25.54248555,58.67192416,57.396734,27.066578
108,255,Latvian Liberation,1,Germany,2,4,16,1919,7,13,1919,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,750,4,13246,DEU,10.38577693,51.10697903,57.396734,27.066578
108,255,Latvian Liberation,1,Germany,1,12,7,1918,4,15,1919,-8,-8,-8,-8,-8,-8,-8,2,2,8,-8,450,4,13246,DEU,10.38577693,51.10697903,57.396734,27.066578
109,290,Russo-Polish,1,Poland,1,2,14,1919,10,18,1920,-8,-8,-8,-8,-8,-8,681,2,2,1,-8,40000,4,100000,POL,19.39011841,52.12759537,52.5394,23.4462
109,365,Russo-Polish,1,Russia,2,2,14,1919,10,18,1920,-8,-8,-8,-8,-8,-8,681,2,1,2,-8,60000,4,100000,RUS,96.68657347,61.98052168,52.5394,23.4462
112,315,Hungarian Adversaries,1,Czechoslovakia,1,4,26,1919,8,4,1919,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,2000,4,11000,NA,NA,NA,47.738096,22.402331
